model_type,data,route,MAE_test,MSE_test,RMSE_test,MAPE_test,R2_test,5_fold_cv_MAE,MAE_actual_vs_planned,MAPE_actual_vs_planned
MLP,test,66B_58,427.6253300656219,292649.8964264594,540.9712528651216,0.12162717851133534,0.4792134731945191,440.5807398067759,655.8509513742072,0.16418098632766243
MLP,test,69_45,272.0478778707536,128356.53914604218,358.2688085028366,0.07054298237592765,0.6049597218535001,268.5352198347392,472.1389195148842,0.11679552694633293
MLP,test,68_81,354.24368700989066,211169.33649986202,459.531649073121,0.07978081839717097,0.5299454148705691,353.17018831150233,496.7813186813187,0.10765964219008652
MLP,test,31A_26,253.42238289256304,104900.36200405237,323.8832536641133,0.08275226040823032,0.2840562208046822,261.6949071578793,319.7993273542601,0.0997656271681033
MLP,test,31A_25,294.63888024187156,146519.94204168825,382.77923407845446,0.08345519053585858,0.2218977931080326,296.96280063260974,406.8626309662398,0.11253104346209276
MLP,test,220_12,316.9765299945972,176667.80212799722,420.31869114755915,0.07138540365771126,0.4761875243402709,317.14847697246626,501.681712962963,0.10800972166945887
MLP,test,111_8,431.43758334377384,290416.6837803684,538.903223019095,0.15067735928384898,-0.15464895520121047,424.933007161103,607.0416666666666,0.18237432691581784
MLP,test,65_77,715.2299745787054,844905.4857009113,919.187405103503,0.14238043134877518,0.4154556166531853,702.5964927446834,1073.7838179519595,0.18783797413016876
MLP,test,220_10,334.7873880470349,186424.61968857542,431.76917408330047,0.07237123237526712,0.5470301757776745,347.42172111341233,469.65748031496065,0.09704890573452381
MLP,test,65_74,303.73007292581394,174729.00102075835,418.0059820394421,0.06897877641567919,0.716308984933129,310.2816508254006,413.44319775596074,0.09013595180416178
MLP,test,185_53,116.83049431108329,21773.70824129554,147.559168611427,0.07223524454633821,-0.06649382373189994,126.2687438268343,157.12561983471073,0.0935580544820495
MLP,test,40B_65,226.9521274014074,81910.78700367684,286.2006062252085,0.08718295609646627,0.4237147688807201,229.0239175294136,299.6046931407942,0.11051127163919734
MLP,test,33A_22,222.12459443261014,83588.44480403392,289.1166629650286,0.06294338835189889,0.30543300748419466,224.86141730379532,623.6344086021505,0.16816442940252366
MLP,test,33A_25,232.46656666863527,90083.6861013051,300.1394444275945,0.07115814793266446,0.47923843403850874,227.3937944085456,1073.2929936305732,0.31502138548670067
MLP,test,40B_63,248.40908160550183,99394.28114092184,315.26858571846617,0.09455328374495699,0.31626854566991536,259.46448771606754,461.47789473684213,0.16205154157351429
MLP,test,84A_3,203.2633871904476,70246.38467375413,265.04034536982124,0.08266551543356526,0.37817755341461634,210.83004094633208,281.9086956521739,0.11367276313411924
MLP,test,38B_44,595.4497941600706,556218.2916557773,745.8004368836058,0.12510288192947483,-0.08243580661331706,592.2767927244694,650.9609195402298,0.13014312103350886
MLP,test,84A_1,306.5062649290565,163983.42924481625,404.9486748278308,0.11102514487217177,0.3969387227599842,303.8500131730281,334.77294685990336,0.11594324197706571
MLP,test,41B_52,302.0547972340173,170741.72359575465,413.2090555587506,0.09487666056326946,0.6193600456545394,302.58267603029196,584.4598540145986,0.17381753265081984
MLP,test,41B_53,307.00650048440076,165543.88617355985,406.8708470430879,0.09213445955171583,0.41561188029442464,314.3469343720533,444.336,0.12724072504478337
MLP,test,7B_93,535.6271446775999,444660.0818668002,666.8283751212152,0.10265224836680881,0.3125892053810396,552.8017920060042,775.9753424657534,0.1347893827521353
MLP,test,38B_40,438.67420812921375,298612.1248200213,546.45413789267,0.11082697050493245,0.21511815204027251,432.76481174521734,596.623268698061,0.13919148343575186
MLP,test,44B_60,159.9228676020982,41958.039173922145,204.8366158037233,0.09923633128799964,0.4842247877139302,167.56633220737814,233.75581395348837,0.13790145315520644
MLP,test,84X_57,682.5244399145428,732157.7191053609,855.6621524324661,0.11960674695567569,-0.29487850732692067,695.8420403545106,612.679012345679,0.10735850435738006
MLP,test,84X_62,355.4831069645301,213306.72144546662,461.8514062395682,0.06446387774433307,0.5263107159344478,357.6094201496903,581.7118155619596,0.10249583327513082
MLP,test,44B_61,184.6794974021401,52159.489174383816,228.3845204351289,0.10818273377751847,0.02754412184371957,180.10333496266517,204.84036144578315,0.11599797003260381
MLP,test,25D_275,531.3668477401528,416219.3095991546,645.1506100122317,0.14183923401585907,0.050531635358920246,495.0248498241743,498.0914634146341,0.1276751230086218
MLP,test,33X_49,262.88022102322094,109585.99852642496,331.0377599707093,0.05423885521694267,0.37882169900128104,291.08257735689614,596.1287128712871,0.12039938567997316
MLP,test,67X_46,423.6971145311216,296536.5538940957,544.5516999276522,0.0787592864442426,0.3329836449821647,459.5265886636322,582.9837662337662,0.1045864194279956
MLP,test,33X_46,240.4925764101552,92001.17548341108,303.31695548289264,0.05033201780317856,0.15264557930665612,247.94546695503445,644.5979020979021,0.13372081297748098
MLP,test,142_12,352.40689802751535,192876.99241789317,439.1776319644401,0.06055200277107564,0.031395721969979085,367.69021206505374,474.6953405017921,0.07997839923562629
MLP,test,7B_91,271.79702991675686,112801.32129968748,335.85907952545733,0.05898968625758333,0.03847573006206273,299.55362627717284,407.46043165467626,0.08521798523345545
MLP,test,39X_1,411.4922923647074,262820.9917880448,512.6606985014989,0.08167375609469892,-0.0030103900063864764,408.76498450137103,549.2702702702703,0.10736094306857913
MLP,test,161_50,208.34696936233675,70137.40870870333,264.83468184643664,0.1220094883038854,0.3337163701206187,232.26301038750307,419.3448275862069,0.2330912441155599
MLP,test,142_13,294.6875215536396,143456.6322670804,378.7566927026906,0.05052078263125913,0.38034710108233183,335.4042285136693,595.8617886178862,0.09811736747140987
MLP,test,39X_3,431.4818193067694,287047.8261779722,535.7684445522825,0.10338759221358852,-0.0850921725320195,414.21690100462075,378.8619246861925,0.08804231553232542
MLP,test,25D_277,302.3220035486575,154957.01654763464,393.6458008764156,0.08612573786353833,-0.006694361645082081,309.5692581741524,381.71120689655174,0.10365741785788603
